file_name,location,line_number,text
animal_faq.xlsx,犬のFAQ,1,質問 回答
animal_faq.xlsx,犬のFAQ,2,小型犬の代表的な種類は何ですか？ 小型犬の代表的な種類には、チワワ、ポメラニアン、ダックスフントなどがあります。
animal_faq.xlsx,犬のFAQ,3,中型犬の特徴は何ですか？ 中型犬には、ビーグル、柴犬、コッカースパニエルなどがあります。
animal_faq.xlsx,犬のFAQ,4,大型犬の代表的な種類と特徴は？ 大型犬には、ゴールデンレトリバー、ラブラドールレトリバー、ジャーマンシェパードなどがあります。
animal_faq.xlsx,猫のFAQ,1,質問 回答
animal_faq.xlsx,猫のFAQ,2,短毛種の猫の特徴は何ですか？ 短い被毛のため毛玉ができにくく、グルーミングが比較的容易です。
animal_faq.xlsx,猫のFAQ,3,長毛種の猫の代表的な種類は？ 代表的な長毛種には、ペルシャ、メインクーン、ラグドールなどがあります。
animal_faq.xlsx,猫のFAQ,4,特殊な被毛を持つ猫の例を教えてください。 特殊被毛の猫には、スフィンクス（無毛）、レックス（波状毛）、スコティッシュフォールド（折れ耳）などがあります。
animal_faq.xlsx,犬のFAQ (2),1,小型犬の代表的な種類は何ですか？ 小型犬の代表的な種類には、チワワ、ポメラニアン、ダックスフントなどがあります。
animal_faq.xlsx,犬のFAQ (2),2,中型犬の特徴は何ですか？ 中型犬には、ビーグル、柴犬、コッカースパニエルなどがあります。
animal_faq.xlsx,犬のFAQ (2),3,大型犬の代表的な種類と特徴は？ 大型犬には、ゴールデンレトリバー、ラブラドールレトリバー、ジャーマンシェパードなどがあります。
